""
Date,Steps
2024-06-01,4567
2024-06-02,7890
2024-06-03,6745
2024-06-04,8234
2024-06-05,9123
2024-06-06,6534
2024-06-07,7456
2024-06-08,8765
2024-06-09,9345
2024-06-10,7889
2024-06-11,8456
2024-06-12,9234
2024-06-13,10234
2024-06-14,9876
2024-06-15,10987
2024-06-16,8234
2024-06-17,7564
2024-06-18,8934
2024-06-19,9345
2024-06-20,10023
2024-06-21,10345
2024-06-22,11234
2024-06-23,9845
2024-06-24,8956
2024-06-25,9356
2024-06-26,10234
2024-06-27,9789
2024-06-28,8567
2024-06-29,8999
2024-06-30,9876
""
