table
Date,Electric Cars Sold,Gasoline Cars Sold
2023-01-01,350,450
2023-01-02,360,470
2023-01-03,370,480
2023-01-04,380,490
2023-01-05,390,500
2023-01-06,400,510
2023-01-07,410,520
2023-01-08,420,530
2023-01-09,430,540
2023-01-10,440,550
2023-01-11,450,560
2023-01-12,460,570
2023-01-13,470,580
2023-01-14,480,590
2023-01-15,490,600
2023-01-16,500,610
2023-01-17,510,620
2023-01-18,520,630
2023-01-19,530,640
2023-01-20,540,650
2023-01-21,550,660
2023-01-22,560,670
2023-01-23,570,680
2023-01-24,580,690
2023-01-25,590,700
2023-01-26,600,710
2023-01-27,610,720
2023-01-28,620,730
2023-01-29,630,740
2023-01-30,640,750
2023-01-31,650,760
""
