""
Date,Interest_Rate
2024-01-01,4.25
2024-02-01,4.35
2024-03-01,4.45
2024-04-01,4.30
2024-05-01,4.40
2024-06-01,4.50
2024-07-01,4.60
2024-08-01,4.55
2024-09-01,4.65
2024-10-01,4.70
2024-11-01,4.75
2024-12-01,4.80
2025-01-01,4.85
2025-02-01,4.90
2025-03-01,4.95
2025-04-01,5.00
2025-05-01,5.05
2025-06-01,5.10
2025-07-01,5.15
2025-08-01,5.20
2025-09-01,5.25
2025-10-01,5.30
2025-11-01,5.35
2025-12-01,5.40
2026-01-01,5.45
2026-02-01,5.50
2026-03-01,5.55
2026-04-01,5.60
2026-05-01,5.65
2026-06-01,5.70
2026-07-01,5.75
2026-08-01,5.80
2026-09-01,5.85
2026-10-01,5.90
2026-11-01,5.95
2026-12-01,6.00
""
