""
Date,AI Adoption,Blockchain Adoption,Quantum Computing Adoption
2021-01,15,20,5
2021-02,17,22,7
2021-03,20,25,8
2021-04,22,27,10
2021-05,24,29,12
2021-06,26,30,13
2021-07,28,32,15
2021-08,30,34,17
2021-09,32,36,18
2021-10,34,38,20
2021-11,36,40,21
2021-12,38,42,23
2022-01,40,45,25
2022-02,42,47,27
2022-03,45,50,28
2022-04,47,52,30
2022-05,50,54,32
2022-06,52,56,33
2022-07,54,58,35
2022-08,56,60,37
2022-09,58,62,38
2022-10,60,64,40
2022-11,62,66,42
2022-12,64,68,43
2023-01,66,70,45
2023-02,68,72,47
2023-03,70,74,48
2023-04,72,76,50
2023-05,74,78,52
2023-06,76,80,53
2023-07,78,82,55
2023-08,80,84,57
2023-09,82,86,58
2023-10,84,88,60
2023-11,86,90,62
2023-12,88,92,63
""
