""
Date,Weight
2023-01-01,68.5
2023-01-02,68.7
2023-01-03,68.6
2023-01-04,68.4
2023-01-05,68.9
2023-01-06,69.1
2023-01-07,68.8
2023-01-08,68.6
2023-01-09,68.3
2023-01-10,68.5
2023-01-11,68.9
2023-01-12,69.0
2023-01-13,68.7
2023-01-14,68.4
2023-01-15,68.6
2023-01-16,68.2
2023-01-17,68.0
2023-01-18,67.8
2023-01-19,68.1
2023-01-20,68.3
2023-01-21,68.4
2023-01-22,68.7
2023-01-23,68.9
2023-01-24,69.1
2023-01-25,69.3
2023-01-26,69.5
2023-01-27,69.2
2023-01-28,68.9
2023-01-29,68.7
2023-01-30,68.5
2023-01-31,68.6
""
