""
Date,Steps
2024-06-01,8500
2024-06-02,9200
2024-06-03,7800
2024-06-04,10200
2024-06-05,9600
2024-06-06,8800
2024-06-07,10400
2024-06-08,9100
2024-06-09,9900
2024-06-10,9700
2024-06-11,10500
2024-06-12,9300
2024-06-13,8500
2024-06-14,8700
2024-06-15,9400
2024-06-16,9800
2024-06-17,9500
2024-06-18,9900
2024-06-19,10300
2024-06-20,9100
2024-06-21,9400
2024-06-22,8800
2024-06-23,9300
2024-06-24,10000
2024-06-25,9500
2024-06-26,9700
2024-06-27,8900
2024-06-28,10100
2024-06-29,9200
2024-06-30,9800
""
