""
Date,Steps
2024-01-01,10234
2024-01-02,8976
2024-01-03,10345
2024-01-04,11002
2024-01-05,9534
2024-01-06,8421
2024-01-07,12123
2024-01-08,9756
2024-01-09,11234
2024-01-10,9856
2024-01-11,10456
2024-01-12,10234
2024-01-13,8756
2024-01-14,11345
2024-01-15,9845
2024-01-16,11532
2024-01-17,10876
2024-01-18,9276
2024-01-19,10345
2024-01-20,11023
2024-01-21,9523
2024-01-22,8734
2024-01-23,12234
2024-01-24,9623
2024-01-25,11234
2024-01-26,9912
2024-01-27,10478
2024-01-28,10567
2024-01-29,9823
2024-01-30,11245
2024-01-31,11034
""
