""
Date,Value
2024-01-01,100
2024-01-02,110
2024-01-03,120
2024-01-04,115
2024-01-05,130
2024-01-06,140
2024-01-07,135
2024-01-08,145
2024-01-09,150
2024-01-10,160
2024-01-11,155
2024-01-12,165
2024-01-13,170
2024-01-14,175
2024-01-15,180
2024-01-16,185
2024-01-17,190
2024-01-18,195
2024-01-19,200
2024-01-20,205
2024-01-21,210
2024-01-22,215
2024-01-23,220
2024-01-24,225
2024-01-25,230
2024-01-26,235
2024-01-27,240
2024-01-28,245
2024-01-29,250
2024-01-30,255
2024-01-31,260
2024-02-01,265
2024-02-02,270
2024-02-03,275
2024-02-04,280
2024-02-05,285
2024-02-06,290
2024-02-07,295
2024-02-08,300
2024-02-09,305
2024-02-10,310
""
