""
Date,Technology,Health
2024-01-01,80,60
2024-01-02,85,65
2024-01-03,83,62
2024-01-04,88,66
2024-01-05,90,70
2024-01-06,92,72
2024-01-07,95,75
2024-01-08,97,78
2024-01-09,99,80
2024-01-10,100,85
2024-01-11,102,87
2024-01-12,105,90
2024-01-13,107,92
2024-01-14,110,95
2024-01-15,112,97
2024-01-16,115,100
2024-01-17,117,102
2024-01-18,120,105
2024-01-19,122,107
2024-01-20,125,110
2024-01-21,127,112
2024-01-22,130,115
2024-01-23,132,117
2024-01-24,135,120
2024-01-25,137,122
2024-01-26,140,125
2024-01-27,142,127
2024-01-28,145,130
2024-01-29,147,132
2024-01-30,150,135
""
