""
Date,Revenue
2023-01-01,1200
2023-01-02,1320
2023-01-03,1450
2023-01-04,1520
2023-01-05,1600
2023-01-06,1580
2023-01-07,1700
2023-01-08,1820
2023-01-09,1900
2023-01-10,2000
2023-01-11,2100
2023-01-12,2200
2023-01-13,2300
2023-01-14,2400
2023-01-15,2500
2023-01-16,2600
2023-01-17,2700
2023-01-18,2800
2023-01-19,2900
2023-01-20,3000
2023-01-21,3100
2023-01-22,3200
2023-01-23,3300
2023-01-24,3400
2023-01-25,3500
2023-01-26,3600
2023-01-27,3700
2023-01-28,3800
2023-01-29,3900
2023-01-30,4000
2023-01-31,4100
""
