Year,iPhone Model A,Samsung Galaxy S,Samsung Galaxy Note,Google Pixel,OnePlus,Xiaomi
2015,800000,1200000,400000,0,0,0
2016,1000000,1500000,500000,200000,0,0
2017,1100000,1400000,450000,300000,150000,0
2018,1150000,1350000,420000,350000,200000,100000
2019,1200000,1300000,400000,400000,300000,150000
2020,1250000,1250000,380000,450000,350000,200000
2021,1300000,1200000,350000,500000,400000,250000
2022,1350000,1150000,300000,550000,450000,300000
2023,1400000,1100000,250000,600000,500000,350000
2024,1440000,1050000,200000,650000,550000,400000
2025,1480000,1000000,150000,700000,600000,450000
2026,1520000,950000,100000,750000,650000,500000
