Month,Jogging,Cycling,Yoga Classes,Soccer,Basketball,Tennis,Outdoor Gym,Picnics,Fishing,Bird Watching
January,230,150,60,250,200,180,110,300,80,120
February,240,160,65,260,210,190,120,310,85,125
March,330,210,75,270,230,200,140,320,90,150
April,410,220,80,280,240,210,150,330,95,155
May,480,310,110,300,260,220,180,400,110,170
June,490,320,120,310,270,230,190,440,115,180
July,500,330,130,320,280,235,200,450,120,185
August,500,330,130,310,275,235,205,455,120,185
September,450,300,120,300,265,230,190,420,110,175
October,380,250,100,290,250,225,170,390,100,160
November,300,220,90,280,240,215,120,350,95,150
December,250,200,70,260,220,190,110,320,90,140
