""
Year,Technology,Marketing,Sales,Customer Support,HR
2000,1000,800,700,400,200
2001,1100,850,750,450,220
2002,1200,900,800,500,240
2003,1300,950,850,550,260
2004,1400,1000,900,600,280
2005,1500,1050,950,650,300
2006,1600,1100,1000,700,320
2007,1700,1150,1050,750,340
2008,1800,1200,1100,800,360
2009,1900,1250,1150,850,380
2010,2000,1300,1200,900,400
2011,2100,1350,1250,950,420
2012,2200,1400,1300,1000,440
2013,2300,1450,1350,1050,460
2014,2400,1500,1400,1100,480
2015,2500,1550,1450,1150,500
2016,2600,1600,1500,1200,520
2017,2700,1650,1550,1250,540
2018,2800,1700,1600,1300,560
2019,2900,1750,1650,1350,580
2020,3000,1800,1700,1400,600
2021,3100,1850,1750,1450,620
2022,3200,1900,1800,1500,640
""
