""
Year,Sports,Music,Travel,Education,Health
2000,500,400,300,200,100
2001,520,410,320,220,110
2002,540,420,340,240,120
2003,560,430,360,260,130
2004,580,440,380,280,140
2005,600,450,400,300,150
2006,620,460,420,320,160
2007,640,470,440,340,170
2008,660,480,460,360,180
2009,680,490,480,380,190
2010,700,500,500,400,200
2011,720,510,520,420,210
2012,740,520,540,440,220
2013,760,530,560,460,230
2014,780,540,580,480,240
2015,800,550,600,500,250
2016,820,560,620,520,260
2017,840,570,640,540,270
2018,860,580,660,560,280
2019,880,590,680,580,290
2020,900,600,700,600,300
""
