""
Year,Real Estate,Technology,Healthcare,Finance,Energy
2000,300,200,400,500,150
2001,310,220,420,520,160
2002,330,240,440,540,170
2003,350,260,460,560,180
2004,370,280,480,580,190
2005,390,300,500,600,200
2006,410,320,520,620,210
2007,430,340,540,640,220
2008,450,360,560,660,230
2009,470,380,580,680,240
2010,490,400,600,700,250
2011,510,420,620,720,260
2012,530,440,640,740,270
2013,550,460,660,760,280
2014,570,480,680,780,290
2015,590,500,700,800,300
2016,610,520,720,820,310
2017,630,540,740,840,320
2018,650,560,760,860,330
2019,670,580,780,880,340
2020,690,600,800,900,350
2021,710,620,820,920,360
""
