""
Year,Energy,Industry,Transportation,Residential,Commercial
2000,3000,1500,2000,500,300
2001,3100,1550,2020,510,305
2002,3200,1600,2040,520,310
2003,3300,1650,2060,530,315
2004,3400,1700,2080,540,320
2005,3500,1750,2100,550,325
2006,3600,1800,2120,560,330
2007,3700,1850,2140,570,335
2008,3800,1900,2160,580,340
2009,3900,1950,2180,590,345
2010,4000,2000,2200,600,350
2011,4100,2050,2220,610,355
2012,4200,2100,2240,620,360
2013,4300,2150,2260,630,365
2014,4400,2200,2280,640,370
2015,4500,2250,2300,650,375
2016,4600,2300,2320,660,380
2017,4700,2350,2340,670,385
2018,4800,2400,2360,680,390
2019,4900,2450,2380,690,395
2020,5000,2500,2400,700,400
""
