""
Year,Vegetables,Fruits,Grains,Dairy,Meat
2000,550,420,310,200,120
2001,570,430,330,220,130
2002,590,440,350,240,140
2003,610,450,370,260,150
2004,630,460,390,280,160
2005,650,470,410,300,170
2006,670,480,430,320,180
2007,690,490,450,340,190
2008,710,500,470,360,200
2009,730,510,490,380,210
2010,750,520,510,400,220
2011,770,530,530,420,230
2012,790,540,550,440,240
2013,810,550,570,460,250
2014,830,560,590,480,260
2015,850,570,610,500,270
2016,870,580,630,520,280
2017,890,590,650,540,290
2018,910,600,670,560,300
2019,930,610,690,580,310
2020,950,620,710,600,320
""
