""
Year,DigitalTechnology,Automation,ResearchAndDevelopment,Infrastructure,MarketExpansion
2000,300,250,500,400,600
2001,330,280,520,420,620
2002,370,300,540,440,650
2003,400,340,580,470,670
2004,450,370,600,490,700
2005,480,410,630,510,730
2006,530,450,660,540,760
2007,560,470,690,560,780
2008,600,510,720,590,810
2009,640,540,750,620,850
2010,680,580,780,640,870
2011,720,610,810,670,900
2012,760,650,840,700,930
2013,800,680,870,730,960
2014,850,720,900,760,990
2015,880,750,930,790,1020
2016,920,790,960,820,1050
2017,960,820,990,850,1080
2018,1000,860,1020,880,1110
2019,1040,890,1050,910,1140
2020,1080,930,1080,940,1170
""
