""
Year,Manufacturing,Research,Development,Marketing,Sales
2000,5000,1500,1200,800,600
2001,5100,1600,1300,900,700
2002,5200,1700,1400,1000,800
2003,5300,1800,1500,1100,900
2004,5400,1900,1600,1200,1000
2005,5500,2000,1700,1300,1100
2006,5600,2100,1800,1400,1200
2007,5700,2200,1900,1500,1300
2008,5800,2300,2000,1600,1400
2009,5900,2400,2100,1700,1500
2010,6000,2500,2200,1800,1600
2011,6100,2600,2300,1900,1700
2012,6200,2700,2400,2000,1800
2013,6300,2800,2500,2100,1900
2014,6400,2900,2600,2200,2000
2015,6500,3000,2700,2300,2100
2016,6600,3100,2800,2400,2200
2017,6700,3200,2900,2500,2300
2018,6800,3300,3000,2600,2400
2019,6900,3400,3100,2700,2500
2020,7000,3500,3200,2800,2600
2021,7100,3600,3300,2900,2700
""
