""
Year,Healthcare,Research,Development,Wellness,Administration
2000,6000,1600,1300,900,700
2001,6100,1700,1400,1000,800
2002,6200,1800,1500,1100,900
2003,6300,1900,1600,1200,1000
2004,6400,2000,1700,1300,1100
2005,6500,2100,1800,1400,1200
2006,6600,2200,1900,1500,1300
2007,6700,2300,2000,1600,1400
2008,6800,2400,2100,1700,1500
2009,6900,2500,2200,1800,1600
2010,7000,2600,2300,1900,1700
2011,7100,2700,2400,2000,1800
2012,7200,2800,2500,2100,1900
2013,7300,2900,2600,2200,2000
2014,7400,3000,2700,2300,2100
2015,7500,3100,2800,2400,2200
2016,7600,3200,2900,2500,2300
2017,7700,3300,3000,2600,2400
2018,7800,3400,3100,2700,2500
2019,7900,3500,3200,2800,2600
2020,8000,3600,3300,2900,2700
2021,8100,3700,3400,3000,2800
2022,8200,3800,3500,3100,2900
""
