""
Year,MentalHealth,PhysicalHealth,Healthcare,Wellness,Research
2000,500,450,600,300,200
2001,520,465,620,315,210
2002,540,480,640,330,220
2003,560,495,660,345,230
2004,580,510,680,360,240
2005,600,525,700,375,250
2006,620,540,720,390,260
2007,640,555,740,405,270
2008,660,570,760,420,280
2009,680,585,780,435,290
2010,700,600,800,450,300
2011,720,615,820,465,310
2012,740,630,840,480,320
2013,760,645,860,495,330
2014,780,660,880,510,340
2015,800,675,900,525,350
2016,820,690,920,540,360
2017,840,705,940,555,370
2018,860,720,960,570,380
2019,880,735,980,585,390
2020,900,750,1000,600,400
""
