""
Year,Compositions,Concerts,Streaming,Music Lessons,Merchandise
2000,300,450,250,150,100
2001,320,470,270,160,110
2002,340,490,290,170,120
2003,360,510,310,180,130
2004,380,530,330,190,140
2005,400,550,350,200,150
2006,420,570,370,210,160
2007,440,590,390,220,170
2008,460,610,410,230,180
2009,480,630,430,240,190
2010,500,650,450,250,200
2011,520,670,470,260,210
2012,540,690,490,270,220
2013,560,710,510,280,230
2014,580,730,530,290,240
2015,600,750,550,300,250
2016,620,770,570,310,260
2017,640,790,590,320,270
2018,660,810,610,330,280
2019,680,830,630,340,290
2020,700,850,650,350,300
""
