""
Year,Technology,Healthcare,Finance,Energy,Manufacturing
2000,500,600,700,800,900
2001,520,630,710,820,920
2002,540,660,720,840,940
2003,560,690,730,860,960
2004,580,720,740,880,980
2005,600,750,750,900,1000
2006,620,780,760,920,1020
2007,640,810,770,940,1040
2008,660,840,780,960,1060
2009,680,870,790,980,1080
2010,700,900,800,1000,1100
2011,720,930,810,1020,1120
2012,740,960,820,1040,1140
2013,760,990,830,1060,1160
2014,780,1020,840,1080,1180
2015,800,1050,850,1100,1200
2016,820,1080,860,1120,1220
2017,840,1110,870,1140,1240
2018,860,1140,880,1160,1260
2019,880,1170,890,1180,1280
2020,900,1200,900,1200,1300
""
