""
Category, Gym Workouts, Outdoor Activities, Online Tutorials, Diet Plans, Group Classes, Fitness Apps
Cardio, 20%, 15%, 20%, 10%, 20%, 15%
Strength Training, 25%, 10%, 20%, 15%, 15%, 15%
Flexibility, 15%, 20%, 25%, 10%, 15%, 15%
Balance, 10%, 25%, 15%, 10%, 20%, 20%
Endurance, 20%, 15%, 15%, 20%, 15%, 15%
High-Intensity Interval Training (HIIT), 30%, 15%, 15%, 10%, 20%, 10%
Yoga, 15%, 20%, 25%, 10%, 20%, 10%
Pilates, 15%, 25%, 15%, 15%, 15%, 15%
Zumba, 25%, 10%, 20%, 15%, 15%, 15%
CrossFit, 20%, 10%, 15%, 20%, 15%, 20%
Martial Arts, 15%, 20%, 15%, 10%, 20%, 20%
""
