""
Day,Exercise,Minutes
Monday,Running,30
Monday,Swimming,15
Monday,Cycling,10
Monday,Weightlifting,25
Monday,Yoga,20
Tuesday,Running,20
Tuesday,Swimming,25
Tuesday,Cycling,30
Tuesday,Weightlifting,10
Tuesday,Yoga,15
Wednesday,Running,25
Wednesday,Swimming,20
Wednesday,Cycling,15
Wednesday,Weightlifting,30
Wednesday,Yoga,10
Thursday,Running,15
Thursday,Swimming,30
Thursday,Cycling,25
Thursday,Weightlifting,20
Thursday,Yoga,10
Friday,Running,20
Friday,Swimming,10
Friday,Cycling,30
Friday,Weightlifting,15
Friday,Yoga,25
""
