Month,Asia,Europe,Africa,North America,South America,Australia,Antarctica
January,5000,7000,2000,8000,3000,2500,150
February,5200,7200,2200,8200,3200,2700,180
March,5500,7500,2500,8500,3500,2900,210
April,5700,7700,2700,8700,3700,3100,230
May,5900,7900,2900,8900,3900,3300,250
June,6100,8100,3100,9100,4100,3500,270
July,6300,8300,3300,9300,4300,3700,300
August,6500,8500,3500,9500,4500,3900,320
September,6700,8700,3700,9700,4700,4100,340
October,6900,8900,3900,9900,4900,4300,360
November,7100,9100,4100,10100,5100,4500,380
December,7300,9300,4300,10300,5300,4700,400
