Month,Average Price
January,120
January,125
January,130
February,135
February,140
February,145
March,150
March,155
March,160
April,165
April,170
April,175
May,180
May,185
May,190
June,195
June,200
June,205
July,210
July,215
July,220
August,225
August,230
August,235
September,240
September,245
September,250
October,255
October,260
October,265
November,270
November,275
November,280
December,285
December,290
December,295
January,130
February,145
March,160
April,175
May,190
June,205
July,220
August,235
September,250
October,265
November,280
December,295
