Month,Average Temperature
January,30
January,32
January,31
February,35
February,36
February,34
March,40
March,42
March,41
April,50
April,52
April,51
May,60
May,62
May,61
June,70
June,72
June,71
July,75
July,77
July,76
August,78
August,80
August,79
September,70
September,72
September,71
October,60
October,62
October,61
November,50
November,52
November,51
December,40
December,42
December,41
January,34
February,37
March,44
April,54
May,64
June,74
July,78
August,81
September,73
October,63
November,53
December,43
