Month,Average Steps
January,5000
January,5200
January,5100
February,5300
February,5400
February,5200
March,6000
March,6100
March,5900
April,6500
April,6600
April,6400
May,7000
May,7100
May,6900
June,7500
June,7600
June,7400
July,8000
July,8100
July,7900
August,8200
August,8300
August,8100
September,7800
September,7900
September,7700
October,7000
October,7100
October,6900
November,6500
November,6600
November,6400
December,6000
December,6100
December,5900
January,5300
February,5600
March,6200
April,6700
May,7200
June,7700
July,8100
August,8400
September,7600
October,7100
November,6600
December,6100
