Month,City,Rainfall
January,New York,3.1
February,New York,2.8
March,New York,4.3
April,New York,3.9
May,New York,4.1
June,New York,3.8
July,New York,4.5
August,New York,4.4
September,New York,4.1
October,New York,3.7
November,New York,3.9
December,New York,3.6
January,Los Angeles,3.4
February,Los Angeles,3.6
March,Los Angeles,2.5
April,Los Angeles,1.2
May,Los Angeles,0.4
June,Los Angeles,0.1
July,Los Angeles,0.0
August,Los Angeles,0.0
September,Los Angeles,0.2
October,Los Angeles,0.5
November,Los Angeles,1.3
December,Los Angeles,2.6
January,Chicago,1.8
February,Chicago,1.6
March,Chicago,2.5
April,Chicago,3.4
May,Chicago,3.7
June,Chicago,4.1
July,Chicago,3.8
August,Chicago,4.3
September,Chicago,3.6
October,Chicago,3.4
November,Chicago,3.0
December,Chicago,2.5
