Month,Year,Visitors
January,2020,3000
February,2020,4000
March,2020,3500
April,2020,4500
May,2020,3200
June,2020,5000
July,2020,5300
August,2020,4900
September,2020,4700
October,2020,5100
November,2020,4200
December,2020,4800
January,2021,5200
February,2021,4300
March,2021,4600
April,2021,5500
May,2021,4900
June,2021,4700
July,2021,6100
August,2021,5900
September,2021,5700
October,2021,6200
November,2021,5400
December,2021,5800
January,2022,6300
February,2022,5300
March,2022,5600
April,2022,6700
May,2022,6200
June,2022,5400
July,2022,7000
August,2022,6800
September,2022,6500
October,2022,7200
November,2022,6400
December,2022,6600
