Month,Average Sleep Hours
January,7.0
January,7.2
January,7.1
February,7.3
February,7.4
February,7.2
March,7.6
March,7.7
March,7.5
April,7.8
April,7.9
April,7.7
May,8.0
May,8.1
May,7.9
June,8.2
June,8.3
June,8.1
July,8.4
July,8.5
July,8.3
August,8.6
August,8.7
August,8.5
September,8.4
September,8.5
September,8.3
October,8.0
October,8.1
October,7.9
November,7.8
November,7.9
November,7.7
December,7.6
December,7.7
December,7.5
January,7.3
February,7.5
March,7.8
April,8.0
May,8.2
June,8.4
July,8.6
August,8.8
September,8.5
October,8.3
November,8.0
December,7.8
