Month,Year,Stress
January,2020,30
February,2020,40
March,2020,20
April,2020,60
May,2020,30
June,2020,50
July,2020,70
August,2020,50
September,2020,40
October,2020,40
November,2020,30
December,2020,20
January,2021,50
February,2021,30
March,2021,40
April,2021,70
May,2021,60
June,2021,30
July,2021,80
August,2021,60
September,2021,70
October,2021,50
November,2021,40
December,2021,30
January,2022,60
February,2022,50
March,2022,30
April,2022,80
May,2022,70
June,2022,40
July,2022,90
August,2022,70
September,2022,80
October,2022,60
November,2022,50
December,2022,40
