Month,Average Calories
January,2000
January,2100
January,2050
February,2200
February,2250
February,2150
March,2300
March,2350
March,2325
April,2400
April,2450
April,2425
May,2500
May,2550
May,2525
June,2600
June,2650
June,2625
July,2700
July,2750
July,2725
August,2800
August,2850
August,2825
September,2900
September,2950
September,2925
October,3000
October,3050
October,3025
November,3100
November,3150
November,3125
December,3200
December,3250
December,3225
January,3300
February,3350
March,3400
April,3450
May,3500
June,3550
July,3600
August,3650
September,3700
October,3750
November,3800
December,3850
