Month,Precipitation
January,3.1
January,3.3
January,3.2
February,2.9
February,3.0
February,2.8
March,3.5
March,3.7
March,3.6
April,3.8
April,4.0
April,3.9
May,4.1
May,4.3
May,4.2
June,4.5
June,4.7
June,4.6
July,4.8
July,5.0
July,4.9
August,5.2
August,5.4
August,5.3
September,4.7
September,4.9
September,4.8
October,4.1
October,4.3
October,4.2
November,3.6
November,3.8
November,3.7
December,3.2
December,3.4
December,3.3
January,3.4
February,3.1
March,3.8
April,4.1
May,4.5
June,4.8
July,5.3
August,5.6
September,4.6
October,4.0
November,3.5
December,3.1
