Year,GDP,Inflation,Unemployment,Interest Rate,Stock Market
2000,10,2.0,5.0,4.0,100
2001,11,2.1,5.2,3.8,105
2002,12,2.3,5.4,3.6,110
2003,13,2.5,5.6,3.4,115
2004,14,2.7,5.8,3.2,120
2005,15,2.9,6.0,3.0,125
2006,16,3.0,6.1,2.8,130
2007,17,3.1,6.2,2.6,135
2008,18,3.2,6.3,2.4,140
2009,19,3.3,6.4,2.2,145
2010,20,3.4,6.5,2.0,150
2011,21,3.5,6.6,1.8,155
2012,22,3.6,6.7,1.6,160
2013,23,3.7,6.8,1.4,165
2014,24,3.8,6.9,1.2,170
2015,25,3.9,7.0,1.0,175
2016,26,4.0,7.1,0.8,180
2017,27,4.1,7.2,0.6,185
2018,28,4.2,7.3,0.4,190
2019,29,4.3,7.4,0.2,195
2020,30,4.4,7.5,0.0,200
