Month,City,Rainfall
January,City A,78
January,City B,85
January,City C,92
February,City A,68
February,City B,73
February,City C,80
March,City A,95
March,City B,100
March,City C,105
April,City A,120
April,City B,125
April,City C,130
May,City A,85
May,City B,90
May,City C,95
June,City A,75
June,City B,80
June,City C,85
July,City A,60
July,City B,65
July,City C,70
August,City A,110
August,City B,115
August,City C,120
September,City A,140
September,City B,145
September,City C,150
October,City A,130
October,City B,135
October,City C,140
November,City A,160
November,City B,165
November,City C,170
December,City A,150
December,City B,155
December,City C,160
