Year,Stocks,Bonds,RealEstate,Commodities,Cryptocurrency
2000,100,50,75,30,10
2001,110,55,80,32,12
2002,120,60,85,34,14
2003,130,65,90,36,16
2004,140,70,95,38,18
2005,150,75,100,40,20
2006,160,80,105,42,22
2007,170,85,110,44,24
2008,180,90,115,46,26
2009,190,95,120,48,28
2010,200,100,125,50,30
2011,210,105,130,52,32
2012,220,110,135,54,34
2013,230,115,140,56,36
2014,240,120,145,58,38
2015,250,125,150,60,40
2016,260,130,155,62,42
2017,270,135,160,64,44
2018,280,140,165,66,46
2019,290,145,170,68,48
2020,300,150,175,70,50
