Month,Year,Sales
January,2020,300
February,2020,400
March,2020,200
April,2020,600
May,2020,300
June,2020,500
July,2020,700
August,2020,500
September,2020,400
October,2020,400
November,2020,300
December,2020,200
January,2021,500
February,2021,300
March,2021,400
April,2021,700
May,2021,600
June,2021,300
July,2021,800
August,2021,600
September,2021,700
October,2021,500
November,2021,400
December,2021,300
January,2022,600
February,2022,500
March,2022,300
April,2022,800
May,2022,700
June,2022,400
July,2022,900
August,2022,700
September,2022,800
October,2022,600
November,2022,500
December,2022,400
