Month,Average Temperature
January,30
January,32
January,34
February,35
February,37
February,39
March,40
March,42
March,44
April,45
April,47
April,49
May,50
May,52
May,54
June,55
June,57
June,59
July,60
July,62
July,64
August,65
August,67
August,69
September,70
September,72
September,74
October,75
October,77
October,79
November,80
November,82
November,84
December,85
December,87
December,89
January,34
February,39
March,44
April,49
May,54
June,59
July,64
August,69
September,74
October,79
November,84
December,89
