Month,City,Temperature
January,New York,32
February,New York,35
March,New York,42
April,New York,55
May,New York,65
June,New York,75
July,New York,80
August,New York,78
September,New York,70
October,New York,60
November,New York,50
December,New York,38
January,Los Angeles,58
February,Los Angeles,60
March,Los Angeles,62
April,Los Angeles,65
May,Los Angeles,68
June,Los Angeles,73
July,Los Angeles,77
August,Los Angeles,78
September,Los Angeles,75
October,Los Angeles,70
November,Los Angeles,65
December,Los Angeles,60
January,Chicago,30
February,Chicago,32
March,Chicago,42
April,Chicago,55
May,Chicago,65
June,Chicago,75
July,Chicago,78
August,Chicago,76
September,Chicago,70
October,Chicago,58
November,Chicago,45
December,Chicago,35
