Month,Average Temperature
January,30
January,32
January,31
February,35
February,37
February,36
March,45
March,47
March,46
April,55
April,57
April,56
May,65
May,67
May,66
June,75
June,77
June,76
July,85
July,87
July,86
August,88
August,90
August,89
September,78
September,80
September,79
October,65
October,67
October,66
November,55
November,57
November,56
December,45
December,47
December,46
January,33
February,38
March,48
April,58
May,68
June,78
July,88
August,91
September,77
October,64
November,54
December,44
