Day,Week,Average Intake
Monday,Week 1,2000
Tuesday,Week 1,2200
Wednesday,Week 1,2100
Thursday,Week 1,2300
Friday,Week 1,2250
Saturday,Week 1,2400
Sunday,Week 1,2350
Monday,Week 2,2500
Tuesday,Week 2,2600
Wednesday,Week 2,2550
Thursday,Week 2,2700
Friday,Week 2,2650
Saturday,Week 2,2750
Sunday,Week 2,2800
Monday,Week 3,2900
Tuesday,Week 3,3000
Wednesday,Week 3,2950
Thursday,Week 3,3100
Friday,Week 3,3050
Saturday,Week 3,3150
Sunday,Week 3,3200
Monday,Week 4,3300
Tuesday,Week 4,3400
Wednesday,Week 4,3350
Thursday,Week 4,3500
Friday,Week 4,3450
Saturday,Week 4,3600
Sunday,Week 4,3550
