Month,Electronics,Clothing,Groceries,Furniture,Books
January,120000,80000,150000,100000,60000
February,130000,85000,155000,105000,65000
March,140000,90000,160000,110000,70000
April,150000,95000,165000,115000,75000
May,160000,100000,170000,120000,80000
June,170000,105000,175000,125000,85000
July,180000,110000,180000,130000,90000
August,175000,108000,178000,128000,88000
September,170000,106000,176000,126000,86000
October,165000,104000,174000,124000,84000
November,160000,102000,172000,122000,82000
December,155000,100000,170000,120000,80000
