Week,Attendance
Week 1,1000
Week 2,1500
Week 3,1400
Week 4,1700
Week 5,1600
Week 6,1800
Week 7,2000
Week 8,2100
Week 9,1900
Week 10,2200
Week 11,2300
Week 12,2400
Week 13,2600
Week 14,2500
Week 15,2700
Week 16,2800
Week 17,3000
Week 18,3100
Week 19,2900
Week 20,3200
Week 21,3300
Week 22,3400
Week 23,3600
Week 24,3500
Week 25,3700
Week 26,3800
Week 27,4000
Week 28,4100
Week 29,3900
Week 30,4200
Week 31,4300
Week 32,4400
Week 33,4600
Week 34,4500
Week 35,4700
Week 36,4800
Week 37,5000
Week 38,5100
Week 39,4900
Week 40,5200
Week 41,5300
Week 42,5400
Week 43,5600
Week 44,5500
Week 45,5700
Week 46,5800
Week 47,6000
Week 48,6100
Week 49,5900
Week 50,6200
Week 51,6300
Week 52,6400
