Startup Name,Sector,Year Founded,Revenue Growth (Past Year %),Employee Growth (Past Year %),Current Employee Count
SensorFleet,Cybersecurity,2016,250,200,35
CloudBench,Cloud Computing,2019,500,150,25
GenoMe,Biotechnology,2018,150,100,40
SkyAI,Artificial Intelligence,2017,300,180,50
QuantumIQ,Quantum Computing,2020,750,500,15
EcoDrone,Environmental Tech,2016,200,90,20
VirtuEducation,EduTech,2018,400,300,30
CryptoLogic,Blockchain,2015,450,120,60
HealthPath,Digital Health,2017,350,220,45
AgroNomic,Agricultural Tech,2019,230,110,22
RoboRetail,Automation,2018,480,300,35
SolarSprint,Renewable Energy,2015,180,70,50
