Day,Drink,Small (8oz),Medium (12oz),Large (16oz),Extra Large (20oz),Total Sales ($)
Monday,Latte,45,60,30,15,675
Monday,Espresso,75,50,25,0,500
Monday,Cappuccino,30,45,50,5,550
Monday,Americano,50,40,30,10,450
Monday,Tea,60,55,20,15,425
Tuesday,Latte,50,65,35,10,700
Tuesday,Espresso,80,45,15,5,475
Tuesday,Cappuccino,25,60,55,10,575
Tuesday,Americano,40,50,35,15,475
Tuesday,Tea,55,60,25,10,450
Wednesday,Latte,42,58,33,17,650
Wednesday,Espresso,78,53,19,0,525
Wednesday,Cappuccino,28,46,48,8,530
Wednesday,Americano,53,37,27,13,430
Wednesday,Tea,61,52,18,19,450
