""
date,value
2023-01-01,1200
2023-01-02,1300
2023-01-03,1280
2023-01-04,1350
2023-01-05,1280
2023-01-06,1400
2023-01-07,1450
2023-01-08,1500
2023-01-09,1550
2023-01-10,1520
2023-01-11,1580
2023-01-12,1620
2023-01-13,1600
2023-01-14,1650
2023-01-15,1690
2023-01-16,1740
2023-01-17,1720
2023-01-18,1760
2023-01-19,1800
2023-01-20,1850
2023-01-21,1890
2023-01-22,1930
2023-01-23,1980
2023-01-24,1950
2023-01-25,2000
2023-01-26,2050
2023-01-27,2070
2023-01-28,2100
2023-01-29,2150
2023-01-30,2200
2023-01-31,2250
""
