""
date,value
2023-01-01,120
2023-01-02,132
2023-01-03,101
2023-01-04,134
2023-01-05,90
2023-01-06,230
2023-01-07,210
2023-01-08,150
2023-01-09,165
2023-01-10,175
2023-01-11,152
2023-01-12,194
2023-01-13,215
2023-01-14,212
2023-01-15,233
2023-01-16,198
2023-01-17,165
2023-01-18,156
...
2023-12-13,196
2023-12-14,217
2023-12-15,219
2023-12-16,195
2023-12-17,190
2023-12-18,173
2023-12-19,176
2023-12-20,182
2023-12-21,185
2023-12-22,188
2023-12-23,189
2023-12-24,198
2023-12-25,208
2023-12-26,223
2023-12-27,233
2023-12-28,243
2023-12-29,248
2023-12-30,260
2023-12-31,280
""
