""
Date,Electricity Consumption (GWh)
2023-01-01,8000
2023-01-02,7950
2023-01-03,7900
2023-01-04,7850
2023-01-05,7800
2023-01-06,7750
2023-01-07,7700
2023-01-08,7650
2023-01-09,7600
2023-01-10,7550
2023-01-11,7500
2023-01-12,7450
2023-01-13,7400
2023-01-14,7350
2023-01-15,7300
2023-01-16,7250
2023-01-17,7200
2023-01-18,7150
2023-01-19,7100
2023-01-20,7050
2023-01-21,7000
2023-01-22,6950
2023-01-23,6900
2023-01-24,6850
2023-01-25,6800
2023-01-26,6750
2023-01-27,6700
2023-01-28,6650
2023-01-29,6600
2023-01-30,6550
2023-01-31,6500
""
