""
Date, CO2 Emissions
2023-01-01, 4200
2023-01-02, 4175
2023-01-03, 4150
2023-01-04, 4120
2023-01-05, 4098
2023-01-06, 4070
2023-01-07, 4050
2023-01-08, 4025
2023-01-09, 4000
2023-01-10, 3970
2023-01-11, 3952
2023-01-12, 3925
2023-01-13, 3900
2023-01-14, 3875
2023-01-15, 3852
2023-01-16, 3830
2023-01-17, 3805
2023-01-18, 3780
2023-01-19, 3750
2023-01-20, 3721
2023-01-21, 3700
2023-01-22, 3675
2023-01-23, 3650
2023-01-24, 3620
2023-01-25, 3595
2023-01-26, 3571
2023-01-27, 3550
2023-01-28, 3525
2023-01-29, 3500
2023-01-30, 3472
2023-01-31, 3448
""
