markdown
Date,Total Sales
2023-01-01,10000
2023-01-02,9980
2023-01-03,9950
2023-01-04,9900
2023-01-05,9800
2023-01-06,9700
2023-01-07,9600
2023-01-08,9500
2023-01-09,9400
2023-01-10,9300
2023-01-11,9200
2023-01-12,9100
2023-01-13,9000
2023-01-14,8900
2023-01-15,8800
2023-01-16,8700
2023-01-17,8600
2023-01-18,8500
2023-01-19,8400
2023-01-20,8300
2023-01-21,8200
2023-01-22,8100
2023-01-23,8000
2023-01-24,7900
2023-01-25,7800
2023-01-26,7700
2023-01-27,7600
2023-01-28,7500
2023-01-29,7400
2023-01-30,7300
""
