markdown
Date,Revenue
2023-01-01,50000
2023-01-02,49500
2023-01-03,49000
2023-01-04,48500
2023-01-05,48000
2023-01-06,47500
2023-01-07,47000
2023-01-08,46500
2023-01-09,46000
2023-01-10,45500
2023-01-11,45000
2023-01-12,44500
2023-01-13,44000
2023-01-14,43500
2023-01-15,43000
2023-01-16,42500
2023-01-17,42000
2023-01-18,41500
2023-01-19,41000
2023-01-20,40500
2023-01-21,40000
2023-01-22,39500
2023-01-23,39000
2023-01-24,38500
2023-01-25,38000
2023-01-26,37500
2023-01-27,37000
2023-01-28,36500
2023-01-29,36000
2023-01-30,35500
2023-01-31,35000
""
