markdown
Date,Users
2023-01-01,1120
2023-01-02,1180
2023-01-03,1250
2023-01-04,1300
2023-01-05,1420
2023-01-06,1480
2023-01-07,1550
2023-01-08,1620
2023-01-09,1700
2023-01-10,1750
2023-01-11,1820
2023-01-12,1900
2023-01-13,1950
2023-01-14,2020
2023-01-15,2100
2023-01-16,2150
2023-01-17,2200
2023-01-18,2250
2023-01-19,2300
2023-01-20,2400
2023-01-21,2450
2023-01-22,2500
2023-01-23,2550
2023-01-24,2650
2023-01-25,2700
2023-01-26,2750
2023-01-27,2800
2023-01-28,2900
2023-01-29,3000
2023-01-30,3100
2023-01-31,3200
""
