""
Date,Stock Index Value
2023-01-01,3000
2023-01-02,2985
2023-01-03,2971
2023-01-04,2956
2023-01-05,2932
2023-01-06,2915
2023-01-07,2891
2023-01-08,2870
2023-01-09,2856
2023-01-10,2837
2023-01-11,2823
2023-01-12,2805
2023-01-13,2790
2023-01-14,2774
2023-01-15,2759
2023-01-16,2741
2023-01-17,2728
2023-01-18,2710
2023-01-19,2695
2023-01-20,2680
2023-01-21,2662
2023-01-22,2644
2023-01-23,2629
2023-01-24,2615
2023-01-25,2601
2023-01-26,2582
2023-01-27,2567
2023-01-28,2553
2023-01-29,2539
2023-01-30,2525
2023-01-31,2510
""
