""
Date,Visitors
2023-01-01,20000
2023-01-02,19850
2023-01-03,19700
2023-01-04,19550
2023-01-05,19400
2023-01-06,19200
2023-01-07,19000
2023-01-08,18800
2023-01-09,18500
2023-01-10,18200
2023-01-11,18000
2023-01-12,17700
2023-01-13,17400
2023-01-14,17100
2023-01-15,16800
2023-01-16,16500
2023-01-17,16200
2023-01-18,15900
2023-01-19,15700
2023-01-20,15500
2023-01-21,15300
2023-01-22,15000
2023-01-23,14700
2023-01-24,14500
2023-01-25,14300
2023-01-26,14100
2023-01-27,13800
2023-01-28,13600
2023-01-29,13400
2023-01-30,13100
2023-01-31,12900
""
