""
Date,Closing Price
2023-01-01,150.00
2023-01-02,148.50
2023-01-03,146.80
2023-01-04,145.20
2023-01-05,144.00
2023-01-06,141.80
2023-01-07,140.60
2023-01-08,138.70
2023-01-09,137.50
2023-01-10,135.00
2023-01-11,133.50
2023-01-12,131.20
2023-01-13,129.80
2023-01-14,128.30
2023-01-15,126.70
2023-01-16,125.00
2023-01-17,123.50
2023-01-18,121.80
2023-01-19,120.50
2023-01-20,119.20
2023-01-21,117.90
2023-01-22,116.50
2023-01-23,115.10
2023-01-24,113.70
2023-01-25,112.30
2023-01-26,111.00
2023-01-27,109.50
2023-01-28,108.20
2023-01-29,106.80
2023-01-30,105.50
2023-01-31,104.00
""
