""
Date,Stock Index
2023-01-01,1500
2023-01-02,1495
2023-01-03,1480
2023-01-04,1462
2023-01-05,1443
2023-01-06,1425
2023-01-07,1410
2023-01-08,1398
2023-01-09,1383
2023-01-10,1360
2023-01-11,1342
2023-01-12,1321
2023-01-13,1305
2023-01-14,1290
2023-01-15,1272
2023-01-16,1253
2023-01-17,1235
2023-01-18,1219
2023-01-19,1203
2023-01-20,1190
2023-01-21,1176
2023-01-22,1152
2023-01-23,1130
2023-01-24,1115
2023-01-25,1100
2023-01-26,1085
2023-01-27,1069
2023-01-28,1052
2023-01-29,1035
2023-01-30,1019
""
