""
Day,Number of Active Users
2023-01-01,10000
2023-01-02,9800
2023-01-03,9600
2023-01-04,9400
2023-01-05,9200
2023-01-06,9000
2023-01-07,8800
2023-01-08,8600
2023-01-09,8400
2023-01-10,8200
2023-01-11,8000
2023-01-12,7800
2023-01-13,7600
2023-01-14,7400
2023-01-15,7200
2023-01-16,7000
2023-01-17,6800
2023-01-18,6600
2023-01-19,6400
2023-01-20,6200
2023-01-21,6000
2023-01-22,5800
2023-01-23,5600
2023-01-24,5400
2023-01-25,5200
2023-01-26,5000
2023-01-27,4800
2023-01-28,4600
2023-01-29,4400
2023-01-30,4200
2023-01-31,4000
""
