""
date,value
2023-01-01,12000
2023-01-02,11895
2023-01-03,11780
2023-01-04,11650
2023-01-05,11530
2023-01-06,11395
2023-01-07,11250
2023-01-08,11120
2023-01-09,11000
2023-01-10,10885
2023-01-11,10770
2023-01-12,10655
2023-01-13,10540
2023-01-14,10430
2023-01-15,10320
2023-01-16,10215
2023-01-17,10110
2023-01-18,10000
2023-01-19,9890
2023-01-20,9785
2023-01-21,9680
2023-01-22,9575
2023-01-23,9470
2023-01-24,9365
2023-01-25,9260
2023-01-26,9155
2023-01-27,9050
2023-01-28,8945
2023-01-29,8835
2023-01-30,8730
""
