markdown
date,value
2023-01-01,10000
2023-01-02,9900
2023-01-03,9800
2023-01-04,9650
2023-01-05,9500
2023-01-06,9300
2023-01-07,9100
2023-01-08,8900
2023-01-09,8700
2023-01-10,8500
2023-01-11,8300
2023-01-12,8100
2023-01-13,7900
2023-01-14,7700
2023-01-15,7500
2023-01-16,7300
2023-01-17,7100
2023-01-18,6900
2023-01-19,6700
2023-01-20,6500
2023-01-21,6300
2023-01-22,6100
2023-01-23,5900
2023-01-24,5700
2023-01-25,5500
2023-01-26,5300
2023-01-27,5100
2023-01-28,4900
2023-01-29,4700
2023-01-30,4500
2023-01-31,4300
""
