""
Date,Value
2023-01-01,12000
2023-01-02,11950
2023-01-03,11900
2023-01-04,11800
2023-01-05,11700
2023-01-06,11650
2023-01-07,11600
2023-01-08,11550
2023-01-09,11500
2023-01-10,11400
2023-01-11,11350
2023-01-12,11250
2023-01-13,11200
2023-01-14,11100
2023-01-15,11050
2023-01-16,10950
2023-01-17,10900
2023-01-18,10800
2023-01-19,10750
2023-01-20,10650
2023-01-21,10600
2023-01-22,10550
2023-01-23,10500
2023-01-24,10400
2023-01-25,10350
2023-01-26,10250
2023-01-27,10200
2023-01-28,10100
2023-01-29,10050
2023-01-30,9950
2023-01-31,9900
2023-02-01,9850
2023-02-02,9800
2023-02-03,9750
2023-02-04,9700
2023-02-05,9650
2023-02-06,9600
2023-02-07,9550
2023-02-08,9500
2023-02-09,9450
2023-02-10,9400
2023-02-11,9350
2023-02-12,9300
2023-02-13,9250
2023-02-14,9200
2023-02-15,9150
2023-02-16,9100
2023-02-17,9050
2023-02-18,9000
2023-02-19,8950
2023-02-20,8900
2023-02-21,8850
2023-02-22,8800
2023-02-23,8750
2023-02-24,8700
2023-02-25,8650
2023-02-26,8600
2023-02-27,8550
2023-02-28,8500
""
