""
date,value
2023-01-01,12000
2023-01-02,11800
2023-01-03,12500
2023-01-04,13000
2023-01-05,13500
2023-01-06,14000
2023-01-07,13300
2023-01-08,12800
2023-01-09,13200
2023-01-10,13400
2023-01-11,12900
2023-01-12,12500
2023-01-13,12800
2023-01-14,13200
2023-01-15,13800
2023-01-16,14500
2023-01-17,14200
2023-01-18,13900
2023-01-19,14000
2023-01-20,14100
2023-01-21,14700
2023-01-22,14900
2023-01-23,15500
2023-01-24,15800
2023-01-25,16100
2023-01-26,16500
2023-01-27,16800
2023-01-28,16300
2023-01-29,15800
2023-01-30,16200
2023-01-31,16900
""
