""
date,value
2023-01-01, 10000
2023-01-02, 9950
2023-01-03, 9800
2023-01-04, 9700
2023-01-05, 9600
2023-01-06, 9400
2023-01-07, 9300
2023-01-08, 9100
2023-01-09, 8900
2023-01-10, 8700
2023-01-11, 8550
2023-01-12, 8400
2023-01-13, 8200
2023-01-14, 8100
2023-01-15, 8000
2023-01-16, 7900
2023-01-17, 7700
2023-01-18, 7600
2023-01-19, 7400
2023-01-20, 7200
2023-01-21, 7100
2023-01-22, 7000
2023-01-23, 6900
2023-01-24, 6800
2023-01-25, 6700
2023-01-26, 6600
2023-01-27, 6500
2023-01-28, 6400
2023-01-29, 6300
2023-01-30, 6200
2023-01-31, 6100
""
